Timestamp,Укажите ваш пол:,Как давно вы закончили бакалавриат?,Укажите ваш наивысший уровень образования:,Какой университет вы закончили?,Форма обучения на бакалавриате:,Как бы вы оценили материальное положение вашей семьи на момент вашего поступления в университет?,Работали ли вы во время обучения в университете?,Состояли ли вы во время обучения в университете в каких-либо студенческих общественных организациях?,  В каких студенческих организациях вы состояли?,Сколько времени в общем у вас уходило на вовлеченность во все студенческие организации в неделю (в часах)?,Сколько лет вы состояли в студенческом союзе?,"Какие навыки, по вашему мнению, вы приобрели благодаря участию в студенческих организациях? ",Кто в основном оплачивал вашу учёбу?,Получали ли вы скидку во время обучения?,В каком размере вы получали скидку?,Имели ли вы льготный статус при получении скидки?,Получали ли вы надбавку к базовой стипендии или президентскую стипендию во время обучения?,Ваш текущий трудовой статус:,Сфера вашей текущей профессиональной деятельности:,Связана ли ваша текущая работа с полученной в университете специальностью?,Занимаете ли вы руководящую должность? ,Продолжаете ли вы заниматься волонтёрской или общественной деятельностью после окончания университета? ,Ваш текущий ежемесячный доход (до вычета налогов) в белорусских рублях:,"Как вы считаете, помогло ли вам участие в студенческих организациях при трудоустройстве? "
10/04/2026 13:43:00,Мужской,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,"Да, 1 год",40%,Нет,,Найм на полную ставку,Финансы,Частично связана,Нет,Нет,3000-5000 BYN,Нет
10/04/2026 13:53:50,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Да, подрабатывал(а) эпизодически","Да, состоял","ПрофКом, БРСМ, Старостат",1,Не состоял,"Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 2 года",60%,Нет,,Найм на полную ставку,Маркетинг,Частично связана,Нет,Нет,3000-5000 BYN,Нет
10/04/2026 14:03:45,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,Нет,Не получал скидку,Нет,,Безработный,Предпринимательство,Частично связана,"Да, первого звена","Да, эпизодически",Предпочитаю не отвечать,Не участвовал в студенческих организациях
10/04/2026 14:05:03,Мужской,3-5 лет,Магистр,ИБ БГУ,Платная,Выше среднего,"Да, работал(а) на полставки","Да, состоял",Студенческий союз,20,3 года,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 3 года",60%,Нет,,Найм на полную ставку,IT,"Да, напрямую",Нет,Нет,Более 10000 BYN,"Да, напрямую (упоминал в резюме, нашел через полученные в студенческой организации связи)"
10/04/2026 14:07:01,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Нет, не работал(а)","Да, состоял","Студенческий союз, ПрофКом, БРСМ",25,3 года,"Тайм-менеджмент, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 3 года",60%,Нет,,Найм на пол ставки,Маркетинг,Частично связана,Нет,"Да, эпизодически",до 1500 BYN,"Да, напрямую (упоминал в резюме, нашел через полученные в студенческой организации связи)"
10/04/2026 14:09:32,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,E-commerce ,Частично связана,Нет,Нет,1500-2000 BYN,Не участвовал в студенческих организациях
10/04/2026 14:19:19,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Да, подрабатывал(а) эпизодически","Да, состоял","Студенческий союз, Творческий Союз",25,3 года,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 1 год",40%,Нет,,Найм на полную ставку,Маркетинг,"Да, напрямую",Нет,Нет,3000-5000 BYN,"Да, напрямую (упоминал в резюме, нашел через полученные в студенческой организации связи)"
10/04/2026 14:21:21,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Да, подрабатывал(а) эпизодически","Да, состоял",Студенческий союз,10,3 года,"Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,Маркетинг,Частично связана,Нет,Нет,2000-3000 BYN,"Да, косвенно (навыки)"
10/04/2026 14:22:07,Мужской,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,"Да, 3 года",60%,Нет,,Фриланс,IT,Частично связана,Нет,"Да, эпизодически",2000-3000 BYN,Не участвовал в студенческих организациях
10/04/2026 14:30:15,Мужской,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Да, работал(а) полный рабочий день","Да, состоял","Студенческий союз, БРСМ, Старостат",5,3 года,"Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Нетворкинг (установление профессиональных контактов)",Сам(а) (Собственный зароботок),Нет,Не получал скидку,Нет,,Найм на полную ставку,Сфера обслуживания,Частично связана,"Да, среднего звена",Нет,5000-7500 BYN,"Да, косвенно (навыки)"
10/04/2026 15:03:55,Женский,3-5 лет,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Да, подрабатывал(а) эпизодически","Да, состоял","Студенческий союз, БРСМ, Творческий Союз",4,3 года,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах",Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,Маркетинг,"Да, напрямую","Да, первого звена","Да, регулярно",2000-3000 BYN,"Да, косвенно (навыки)"
10/04/2026 15:41:39,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Да, работал(а) на полставки","Да, состоял",Студенческий союз,20,3 года,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку+фриланс+предпринимательство,"IT продажи, образование, предпринимательство",Частично связана,"Да, высшего звена","Да, эпизодически",5000-7500 BYN,"Да, косвенно (навыки)"
10/04/2026 18:54:54,Женский,1-2 года,Магистр,ИБ БГУ,Платная,Среднее,"Да, работал(а) на полставки","Да, состоял",Студенческий союз,5,3 года,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах",Семья,"Да, 1 год",40%,Нет,,Найм на пол ставки,Маркетинг,Частично связана,"Да, среднего звена",Нет,до 1500 BYN,"Да, косвенно (навыки)"
11/04/2026 06:27:28,Мужской,> 10 лет,Магистр,ГГУ,Бюджетная,Ниже среднего,"Да, работал(а) на полставки","Да, состоял",ПрофКом,0,Не состоял,Никаких значимых навыков,,,,,"Да, 3 года",Найм на полную ставку,Государственная служба,Частично связана,"Да, первого звена","Да, эпизодически",Предпочитаю не отвечать,Нет
12/04/2026 10:41:54,Мужской,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Да, подрабатывал(а) эпизодически","Да, состоял","Студенческий союз, БРСМ",8,3 года,"Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах",Сам(а) (Собственный зароботок),Нет,Не получал скидку,Нет,,Найм на полную ставку,Государственная служба,"Нет, совсем не связана","Да, среднего звена","Да, эпизодически",1500-2000 BYN,Затрудняюсь ответить
13/04/2026 08:12:21,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Да, работал(а) на полставки","Да, состоял","ПрофКом, БРСМ, Старостат, Творческий Союз",20,Не состоял,"Тайм-менеджмент, Лидерство, Организация и управление, Командная работа, Навыки коммуникации и публичных выступлений, Проджект менеджмент, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 3 года",60%,Нет,,Найм на полную ставку,Образование,Частично связана,Нет,"Да, регулярно",Предпочитаю не отвечать,"Да, напрямую (упоминал в резюме, нашел через полученные в студенческой организации связи)"
13/04/2026 11:08:47,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Среднее,"Да, работал(а) на полставки","Да, состоял",Студенческий союз,6,3 года,"Организация и управление, Навыки коммуникации и публичных выступлений, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 3 года",60%,Да,,Найм на полную ставку,Маркетинг,"Да, напрямую",Нет,Нет,7500-10000 BYN,"Да, косвенно (навыки)"
13/04/2026 11:16:36,Женский,1-2 года,Бакалавр,ИБ БГУ,Платная,Выше среднего,"Нет, не работал(а)","Да, состоял",ПрофКом,2,Не состоял,"Командная работа, Навыки коммуникации и публичных выступлений, Нетворкинг (установление профессиональных контактов)",Семья,"Да, 2 года",60%,Нет,,Найм на полную ставку,IT,"Нет, совсем не связана",Нет,Нет,2000-3000 BYN,Нет
14/04/2026 22:31:07,Мужской,1-2 года,Магистр,БГУФК ,Бюджетная,Среднее,"Да, подрабатывал(а) эпизодически","Нет, не состоял",,,,,,,,,"Да, 1 год",Найм на полную ставку,Спорт ,"Да, напрямую","Да, среднего звена",Нет,2000-3000 BYN,Не участвовал в студенческих организациях
15/04/2026 14:32:11,Женский,> 10 лет,Бакалавр,БГЭУ,Бюджетная,Выше среднего,"Да, работал(а) на полставки","Да, состоял",Студенческий союз,1,3 года,"Организация и управление, Навыки коммуникации и публичных выступлений",,,,,Нет,Найм на полную ставку,Финансы,"Да, напрямую",Нет,"Да, эпизодически",3000-5000 BYN,"Да, косвенно (навыки)"
16/04/2026 19:34:10,Мужской,3-5 лет,Бакалавр,Иные факультеты или институты БГУ,Платная,Выше среднего,"Нет, не работал(а)","Нет, не состоял",,,,,Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,Финансы,"Да, напрямую",Нет,Нет,5000-7500 BYN,Нет
16/04/2026 20:05:02,Женский,6-10 лет,Бакалавр,Иные факультеты или институты БГУ,Бюджетная,Среднее,"Да, подрабатывал(а) эпизодически","Нет, не состоял",,,,,,,,,"Да, 3 года",Найм на полную ставку,IT,"Нет, совсем не связана","Да, первого звена",Нет,7500-10000 BYN,Не участвовал в студенческих организациях
17/04/2026 11:43:22,Женский,1-2 года,Бакалавр,Иные факультеты или институты БГУ,Платная,Среднее,"Нет, не работал(а)","Да, состоял",научная газета ,3,Не состоял,Организация и управление,Семья,"Да, 3 года",20%,Да,,Найм на полную ставку,Финансы,"Да, напрямую",Нет,Нет,до 1500 BYN,Нет
17/04/2026 11:54:09,Мужской,3-5 лет,Бакалавр,БГУИР,Бюджетная,Среднее,"Нет, не работал(а)","Нет, не состоял",,,,,,,,,Нет,Найм на полную ставку,IT,"Да, напрямую",Нет,Нет,2000-3000 BYN,Нет
17/04/2026 23:03:29,Женский,> 10 лет,Бакалавр,гГТУ им. Сухого,Бюджетная,Среднее,"Да, работал(а) полный рабочий день","Нет, не состоял",,,,,,,,,Нет,Найм на полную ставку,Финансы,Частично связана,"Да, среднего звена",Нет,3000-5000 BYN,Не участвовал в студенческих организациях
18/04/2026 12:17:35,Женский,Не закончил,Бакалавр,БГЭУ,Платная,Среднее,"Нет, не работал(а)","Да, состоял","Студенческий союз, БРСМ",,3 года,Командная работа,Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,Государственная служба,"Да, напрямую",Нет,Нет,1500-2000 BYN,Нет
18/04/2026 13:10:29,Женский,Не закончил,Бакалавр,ИБ БГУ,Платная,Ниже среднего,"Да, работал(а) на полставки","Да, состоял","Студенческий союз, ПрофКом, БРСМ, Старостат",10,3 года,"Командная работа, Навыки решения конфликтов и участия в переговорах, Нетворкинг (установление профессиональных контактов)",Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,Маркетинг,Частично связана,Нет,Нет,1500-2000 BYN,"Да, косвенно (навыки)"
18/04/2026 13:56:10,Женский,1-2 года,Бакалавр,БГЭУ,Платная,Среднее,"Да, подрабатывал(а) эпизодически","Да, состоял","ПрофКом, БРСМ",0,3 года,Никаких значимых навыков,Семья,Нет,Не получал скидку,Нет,,Найм на полную ставку,Государственная служба,"Да, напрямую",Нет,Нет,Предпочитаю не отвечать,Нет
20/04/2026 20:16:01,Мужской,3-5 лет,Бакалавр,БелГУТ,Бюджетная,Выше среднего,"Нет, не работал(а)","Да, состоял",БРСМ,0,Не состоял,Никаких значимых навыков,,,,,Нет,Найм на полную ставку,Логистика,Частично связана,Нет,Нет,2000-3000 BYN,Нет
20/04/2026 23:19:06,Мужской,> 10 лет,Магистр,БГЭУ,Бюджетная,Ниже среднего,"Да, работал(а) на полставки","Нет, не состоял",,,,,,,,,Нет,Найм на полную ставку,Финансы,Частично связана,"Да, высшего звена",Нет,Более 10000 BYN,Не участвовал в студенческих организациях